,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9
0,0.625,0.5441176470588235,0.5277777777777778,0.8918918918918919,0.6486486486486487,0.6805555555555556,0.6805555555555556,0.7763157894736842,0.6944444444444444
1,0.625,0.4264705882352941,0.5694444444444444,0.9459459459459459,0.8243243243243243,0.6388888888888888,0.75,0.7236842105263158,0.625
2,0.625,0.4411764705882353,0.5138888888888888,0.9324324324324325,0.5540540540540541,0.5555555555555556,0.5972222222222222,0.7763157894736842,0.7777777777777778
3,0.7083333333333334,0.47058823529411764,0.5138888888888888,0.9459459459459459,0.7432432432432432,0.6111111111111112,0.6388888888888888,0.8552631578947368,0.6527777777777778
4,0.6666666666666666,0.5294117647058824,0.4027777777777778,0.7162162162162162,0.6756756756756757,0.5972222222222222,0.625,0.8157894736842105,0.6111111111111112
5,0.625,0.5147058823529411,0.6527777777777778,0.8648648648648649,0.7432432432432432,0.4722222222222222,0.7222222222222222,0.7763157894736842,0.6666666666666666
6,0.5,0.5735294117647058,0.4027777777777778,0.9054054054054054,0.5540540540540541,0.5138888888888888,0.7083333333333334,0.7105263157894737,0.6527777777777778
7,0.6805555555555556,0.4852941176470588,0.4861111111111111,0.8918918918918919,0.6081081081081081,0.4861111111111111,0.8055555555555556,0.881578947368421,0.6666666666666666
8,0.5972222222222222,0.5,0.5694444444444444,0.8783783783783784,0.6891891891891891,0.5555555555555556,0.6527777777777778,0.6973684210526315,0.8194444444444444
9,0.5694444444444444,0.5441176470588235,0.5,0.8243243243243243,0.6351351351351351,0.6111111111111112,0.7361111111111112,0.75,0.6527777777777778
